title,dates,start,end,span,description,people,doctype,publisher,keywords,locations,filetype,item-id,source,type,format,rights,language,link,cdmid
4-H Folder,8/15/1984 - 8/19/2010,8/15/1984,8/19/2010,1984-2010,2 pages of subject files containing and related to 4-H,"Kleint, Kathy",,The Star-News;,Home Economics; Livestock; Gardening; Donnelly Community Garden; Mechanics;,"Donnelly, ID; Valley County;",Subject Files,4-H,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/406,406
ACLU Folder,5/15/2014 - 5/15/2014,5/15/2014,5/15/2014,2014-2014,1 pages of subject files containing and related to ACLU,"Morales, Leo; Grote, Tom;",,The Star-News;,American Civil Liberties Union; 2014 Max Dalton Open Government Award;,Idaho;,Subject Files,ACLU,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/407,407
Advertising Folder,1/31/1868 - 1/31/1976,1868-01-31,1/31/1976,1868-1976,2 pages of subject files containing and related to Advertising,,,Idaho Statesman;,J. Harry Hopffgartin Billboards; Vogan&apos;s Chocolates; A. G. Lachapelle; Shainwald Bros;,"Boise, ID; Boise City, ID;",Subject Files,Advertising,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/408,408
"Adams County, Idaho Folder",7/23/1939 - 12/24/2014,7/23/1939,12/24/2014,1939-2014,"49 pages of subject files containing and related to Adams County, Idaho",,,Idaho Statesman; The Star-News,Campbell Ranch; Packer John Cabin; Hotsprings; Pacific &amp; Idaho Northern Rail Road; Railroads; Little Ski Hill; Power Plant Project; County Elections; Long Valley Reservior; Adams Co. Historical Society; Meadows Valley Ambulance Service;,"New Meadows, ID; Council, ID;",Subject Files,Adams_County_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/409,409
Aeronauntics: Accidents Folder,2/18/1943 - 7/9/2015,2/18/1943,7/9/2015,1943-2015,129 pages of subject files containing and related to Aeronauntics: Accidents,"Langer, Charley J.; Stohr, W. Penn; Mr. Sayler; Stringham, Bryant; Woods, Bill; Law, Bill; Ramsey, William; Delp, Ron; Eldridge, Bill &amp; Molly; Manly, Howard F.; Gregersen, Marvin D.; Zuck, Jeremy E.; Snow, Berk; Beers, Suzanne;",,Heritage Program of US Dept. of Agriculture Forest Service; The American Weekly; Idaho Statesman; The Long Valley Advocate; The Star-News;,Loon Lake Crash; Penn Stohr; Backcountry Aircrashes; B-23 Bomber; USFS; Air Crash Reserve;,"Loon Lake, ID;",Subject Files,Aeronauntics-Accidents,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/410,410
Aeronautics in Idaho (b) Folder,10/13/1910 - 8/6/2015,10/13/1910,8/6/2015,1910-2015,13 pages of subject files containing and related to Aeronautics in Idaho (b),"Ray Arnold; Sean Wall; Bill Dorris; Goodman, Austin; Fogg, Bob;",,Idaho Statesman; The Star-News,Johnson Flying Service; Smoke Jumpers; FAA and Snowbank Mountain;,"McCall, ID;",Subject Files,Aeronautics_in_Idaho_(b),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/411,411
Aeronautics in Idaho (c) Folder,10/13/1910 - 8/6/2015,10/13/1910,8/6/2015,1910-2015,13 pages of subject files containing and related to Aeronautics in Idaho (c),"William Sanborn; Art Lazzarini; Blake Swanson; Fogg, Bob; Arnold, Ray; Goodman, Austin;",,The Star-News; The Idaho Statesman; The Long Valley Advocate,Johnson Flying Service; Smoke Jumpers; McCall Air; Paragliders;,"McCall, ID;",Subject Files,Aeronautics_in_Idaho_(c),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/412,412
Aeronautics in Idaho (a) Folder,10/13/1910 - 8/6/2015,10/13/1910,8/6/2015,1910-2015,44 pages of subject files containing and related to Aeronautics in Idaho (a),Mayor Don Bailey; Mr. Bob Johnson; Johnson Flying Service; Dick johnson; Bob Fogg; Bill Dorris; Walter Brookins; James Ward; Curtis Biplane; William Sanborn; Ray Arnold; Art Lazzarini; Blake Swanson,,Cascade News; Idaho Statesman; The Star-News;,Johnson Flying Service; Smoke Jumpers; Wings over Idaho; McCall Air;,"McCall, ID;",Subject Files,Aeronautics_in_Idaho_(a),McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/413,413
Air Crash of Bill Keating Family Folder,5/2/2008 - 5/15/2008,5/2/2008,5/15/2008,2008-2008,12 pages of subject files containing and related to Air Crash of Bill Keating Family,"Bill Keating; Dylan Pickering; Tyler Pickering; William Pickering; Keating, Bill; Fuller, Mark; Mooney, Justin;",,The Star-News;,"Airport; Aeronautics; Pickering; Airport in McCall, ID;","McCall, ID;",Subject Files,Air_Crash_of_Bill_Keating_Family,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/414,414
"Alpha, Idaho Folder",5/25/1890 - 1/21/1971,1890-05-25,1/21/1971,1890-1971,"4 pages of subject files containing and related to Alpha, Idaho",Gilber Moore; James Flood; George Horner; John Hasbrouck; Tommy Walch; James Lindsay; Dorsey Herrick,,High Country News; The Star-News;,Alpha Grange; Alpha Ditch; Long Valley; Community of Alpha;,"Alpha, ID; Cascade, ID; Clear Creek, ID; Long Valley;",Subject Files,Alpha_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/415,415
